Q,A,label
지역성의 종류,시간적 지역성 공간적 지역성 순차적 지역성이 있다.,0
지역성의 종류는?,시간적 지역성 공간적 지역성 순차적 지역성이 있다.,0
블록이란?,주기억장치로부터 동시에 인출되는 정보들의 그룹이다.,0
슬롯이란?,캐쉬에서 한 블록이 저장되는 장소이다.,0
슬롯,캐쉬에서 한 블록이 저장되는 장소이다.,0
블록,주기억장치로부터 동시에 인출되는 정보들의 그룹이다.,0
태그,슬롯에 적재된 블록을 구분해주는 정보이다.,0
태그란?,슬롯에 적재된 블록을 구분해주는 정보이다.,0
사상 방식의 종류,직접 사상 완전 연관 사상 세트 연관 사상이 있다.,0
사상 방식,어느 캐쉬 슬롯을 공유할 것인지 결정해주는 방법이다.,0
사상 방식이란?,어느 캐쉬 슬롯을 공유할 것인지 결정해주는 방법이다.,0
매핑 함수,블록을 캐시 슬롯에 매핑하는 알고리즘이다.,0
매핑 함수란?,블록을 캐시 슬롯에 매핑하는 알고리즘이다.,0
매핑 함수가 뭐야?,블록을 캐시 슬롯에 매핑하는 알고리즘이다.,0
직접 사상이 뭐야?,블록들이 지정된 하나의 캐쉬 슬롯에 사상되는 것이다.,0
직접 사상,주기억장치의 블록들이 지정된 하나의 캐쉬 슬롯에 사상되는 것이다.,0
기억장치 주소는 어떻게 구성될까?,태그 필드 슬롯 번호 단어 필드로 구성된다.,0
기억장치 주소의 구성,태그 필드 슬롯 번호 단어 필드로 구성된다.,0
기억장치 주소의 구성요소,태그 필드 슬롯 번호 단어 필드로 구성된다.,0
직접 사상의 장점,하드웨어가 간단하고 비용이 적게 든다.,0
직접 사상 캐쉬의 장점,하드웨어가 간단하고 비용이 적게 든다.,0
직접 사상 캐쉬의 장점이란?,하드웨어가 간단하고 비용이 적게 든다.,0
직접 사상 캐쉬의 단점,언젠간 캐시 내용이 바뀌어야 하는 문제점이 발생한다.,0
직접 사상의 단점,캐시의 위치가 고정되어버린다.,0
완전 연관 사상,주기억장치의 블록을 캐시의 아무 라인에 적재할 수 있다.,0
완전 연관 사상의 특징,주기억장치의 블록을 캐시의 아무 라인에 적재할 수 있다.,0
완전 연관 사상의 장점,새로운 블록의 적재 시 슬롯의 선택이 자유롭다.,0
완전 연관 사상의 장점이 뭐야?,새로운 블록의 적재 시 슬롯의 선택이 자유롭다.,0
완전 연관 사상의 단점이란?,비용이 많이 들고 복잡하다.,0
완전 연관 사상의 단점,비용이 많이 들고 복잡하다.,0
세트 연관 사상,직접 사상과 완전 연관사상의 장점을 취하는 절충안이다.,0
세트 연관 사상이란?,직접 사상과 완전 연관사상의 장점을 취하는 절충안이다.,0
기억장치 액세스란?,중앙처리장치가 기억장치에 쓰거나 읽는 동작이다,0
기억장치 액세스,중앙처리장치가 기억장치에 쓰거나 읽는 동작이다,0
기억장치 액세스의 유형,순차적 액세스 직접 액세스 임의 액세스 등이 있다.,0
기억장치 액세스 유형,순차적 액세스 직접 액세스 임의 액세스 등이 있다.,0
순차적 액세스,저장된 정보를 순서대로 액세스하는 방식이다.,0
순차적 액세스란?,저장된 정보를 순서대로 액세스하는 방식이다.,0
순차적 액세스의 예시,자기 테이프 등이 있다.,0
순차적 액세스 예,자기 테이프에서 쓰인다.,0
직접 액세스,액세스 할 위치에 직접 이동 후 순차적 액세스하는 방식이다.,0
직접 액세스란?,액세스 할 위치에 직접 이동 후 순차적 액세스하는 방식이다.,0
임의 액세스란?,주소에 의해 직접 기억 장소를 찾아 액세스하는 방식이다.,0
임의 액세스가 뭐야?,주소에 의해 직접 기억 장소를 찾아 액세스하는 방식이다.,0
임의 액세스,주소에 의해 직접 기억 장소를 찾아 액세스하는 방식이다.,0
연관 액세스,비트들을 비교하여 일치하는 내용을 액세스하는 방식이다.,0
연관 액세스란?,비트들을 비교하여 일치하는 내용을 액세스하는 방식이다.,0
연관 액세스가 뭐야?,비트들을 비교하여 일치하는 내용을 액세스하는 방식이다.,0
기억장치 설계 시 고려사항,용량과 액세스 속도가 있다.,0
기억장치 설계할 때 고려 사항,용량과 액세스 속도가 있다.,0
기억장치 설계할 때 뭘 고려해야돼?,용량과 액세스 속도이다.,0
기억장치 설계 고려사항,용량과 액세스 속도가 있다.,0
주소지정 단위,주소가 지정된 기억장소 당 저장되는 데이터 길이이다.,0
주소지정 단위,바이트 단위 혹은 단어 단위이다.,0
주소 지정 단위란?,주소가 지정된 기억장소 당 저장되는 데이터 길이이다.,0
주소 지정 단위,주소가 지정된 기억장소 당 저장되는 데이터 길이이다.,0
지역성의 원리가 뭐야?,기억장치의 액세스가 특정 영역에 집중되는 현상이다.,0
