A,label
이해해요. 그렇지만 원망은 자신을 더 힘들게 할 뿐이에요., 0
아직 힘들시기에요., 0
아직 많이 힘들겠어요., 0
이별을 헤아릴 수록 힘든 건 자신이랍니다., 0
아직 실감이 안나겠어요., 0
이젠 마음의 정리가 끝났길 바랍니다., 0
아직 시간이 더디게 흐를 거예요., 0
이젠 좀 괜찮아졌길 바랍니다., 0
이젠 좀 괜찮아졌길 바랍니다., 0
금방 지나갈 거예요., 0
마음이 허전할거라 생각해요., 0
그 어떤 고통보다 나를 힘들게 해요., 0
그렇게 생각하다 보면 정말 괜찮아질 거예요., 0
작은 일에서 행복을 느껴보는게 좋아요., 0
당신이라면 충분히 극복할 수 있어요., 0
마음의 정리가 아직인가 봅니다., 0
이별의 상처를 잘 아물지 않나봐요., 0
저한테 다 말씀하세요., 0
태연히 행동 해보세요., 0
마음의 정리가 아직인가 봅니다., 0
착잡한 마음을 감출길이 없지요., 0
쉬운 일은 아니에요., 0
가슴 한켠에 남아있을 수 있어요., 0
이해할 순 없겠지요., 0
저에게 기대세요., 0
그만큼 많이 성장하려 하나봐요., 0
잘 하고 있어요., 0
때로는 힘내지 않아도 돼요. 눈물이 난다면 미련없이 울어도 돼요., 0
시작이 있으면 끝이 있으니까요., 0
제게 들려주세요., 0
제게 말해보세요., 0
어느 이야기보다 가슴 먹먹할 거예요., 0
저는 비밀을 보장해요. 답답하다면 저에게 말해보세요., 0
잘 지냈으면 좋겠네요., 0
많은 시간이 흘렀네요., 0
각자의 삶을 살고 있겠지요., 0
다른 곳으로 생각을 돌려보세요., 0
이별에도 준비가 필요하지요., 0
마음의 준비가 필요하겠네요., 0
슬픈 단어네요., 0
힘들 거라 생각해요., 0
자신의 마음에 귀를 기울여보세요., 0
마음이 후련하지만은 않겠네요., 0
마음의 결정을 내리셔야죠., 0
좋은 마무리하길 바랍니다., 0
평상시처럼 생활하고 행동하세요., 0
날짜를 그만 세어 보세요., 0
달라진게 많을 거예요., 0
힘든가봅니다., 0
바로 잊을 수는 없을 거예요., 0
괜찮아요., 0
이별하신게 맞나요., 0
여전히 힘든가봅니다., 0
충분히 잊을 수 있을 거예요., 0
아직도 미련이 남나봅니다., 0
후회만 남지 않길 바랍니다., 0
힘드실 거예요., 0
어떻게 되셨나요., 0
더 생각이 나셨군요., 0
똑같은 것들로 다투시나요., 0
이제는 좀 무뎌지셨나요., 0
내 이야기 같아서겠죠., 0
재회하면 머리가 더 복잡해질 거예요., 0
연애 전으로 돌아가지는 못할 거예요., 0
미련한 행동일수도 현명한 행동일수도., 0
떠나보내고 남는건 빈자리의 공허함이죠., 0
한번 크게 울어보세요., 0
힘내세요., 0
털털 털어내세요., 0
아직 많이 힘드시겠군요., 0
이별 뒤엔 아쉬움이 따를뿐이죠., 0
휴유증에서 벗어나세요., 0
최근에 이별을 하셨나보군요., 0
성장에는 고통이 따르나봐요., 0
자신의 건강만큼 중요한건 업습니다., 0
갈수록 무뎌져갈거예요., 0
잘못된 버릇을 갖고 계셨나요., 0
현명하시군요., 0
힘드시겠어요., 0
이별은 성장하게하죠., 0
새로운 시작을 해보세요., 0
새로운 연애를 시작해보시는건 어떠세요., 0
이별과 노래는 너무 잘 어울리죠., 0
새로운 무언가를 해보는건 어떠세요., 0
긴 만남을 잊기는 쉽지 않죠., 0
나가서 좀 걷고 친구들을 만나보세요., 0
아직도 힘드시군요., 0
좋은 소식이네요., 0
새로운 이야기를 시작해보세요., 0
누군가를 잊어야한다는건 정말 힘든 일이죠., 0
좀 더 밝고 신나는 노래 들어보세요., 0
당신은 정말 착한 사람이군요., 0
다른 누군가와 새로운 추억과 기억이 생긴다면 지금보다는 좀 더 자유로워질 거예요., 0
자기몸을 헤치는 것만큼 어리석은 짓은 없습니다., 0
대화로 방법을 찾아보세요., 0
가슴 아픈 이별을 하셨나보군요., 0
많이 힘드셨군요., 0
뭐라도 얘기를 하면 좀 나아질 거예요., 0
이별에 답이 있을까요., 0
당신은 따뜻한 가슴을 지녔군요., 0
무슨 말을 하시고 싶으신가요., 0
그럼요. 한 순간에 내 삶속에서 내보내기는 쉽지않을 거예요., 0
둘 사이에 안 좋은 기류가 있었나요., 0
가치관이 달라 자주 부딪히면 이별하는 것이 맞는 거겠죠., 0
감정적일수록 더 힘들어지기만 할 거예요., 0
이별은 똑같이 힘드니까요., 0
쉬운 일이 아니라는 거 잘 알고 있어요., 0
무덤덤해지기도 하는 것이죠., 0
각자의 방식이 있으니까요., 0
어려울 거라 생각해요., 0
제가 들어드릴게요., 0
이별이 나를 잠식시키니까요., 0
그러게요.그만큼 사랑했다는거겠죠., 0
맞아요. 어느 누구도 이별이 안 힘든 사람은 없어요., 0
똥차가 지나갔다 생각하세요., 0
그러면서 성장을 해나가는 거예요., 0
머뭇거리는 이유는 무엇 때문일까요., 0
힘들지 않았다면 거짓말일 거예요., 0
무덤덤해졌다면 그럴 거예요., 0
애매하네요., 0
말해본 적 있어요., 0
너무 갑작스러웠을테니까요., 0
이별을 받아들일 시간이 필요할지도 몰라요., 0
달라지는게 없다면 마음을 정리할 줄도 알아야 해요., 0
자신을 자책하지 말아요. 저도 받아들이지 못했던 걸요., 0
성숙해지는 단계인가봐요., 0
조급해하지 않아도 돼요., 0
받아들이기 쉽지 않았을텐데 대단해요., 0
조언해주세요., 0
좋은 선택일거라 믿어요., 0
쉽지 않을 결정이었을 텐데., 0
나아졌긴 바랄게요., 0
그 순간에는 보이지 않는 것들이 많지요., 0
고민하고 있다면 그게 맞을거예요., 0
완벽한 이별은 없다고 하네요., 0
마음이 문제네요., 0
끝이 보이지 않기 때문인 것 같아요., 0
작은 일부터 시작해보세요. 그곳에서 행복을 찾아보세요., 0
가벼운 안부 인사일 거예요., 0
혼자만의 시간이 많아지죠., 0
길지 않길 바랄게요., 0
사소한 일부터 시작해보세요. 작은 곳에서 느끼는 행복은 생각보다 커요., 0
사소한 일부터 시작해보세요. 작은 곳에서 느끼는 행복은 생각보다 커요., 0
노래 가사를 적어 보세요. 마음이 정리될지도 몰라요., 0
꼭 병원 다녀와요. 힘들 때 아픈 것 만큼 서러운 일은 없어요., 0
이루 말할 수 없는 아픔이기도 해요., 0
사랑이 헤아릴 수 없어서 그렇기도 해요., 0
더 두렵겠네요., 0
혼자가 되는 거겠죠., 0
정말 영원한 이별이네요., 0
많은 변화가 있었지만 긍정적인 변화이길 바랍니다., 0
사랑한 시간 보다 이별이 더 길어서 그래요., 0
이별이 새로운 시작이 되기도 하니까요., 0
혼자가 되었을 때의 고요함이 아닐까요., 0
이별이 얼마남지 않음이 느껴지나요., 0
그만큰 사랑했기 때문일 거예요., 0
그만큰 사랑했기 때문일 거예요., 0
항상 아쉽지요., 0
힘든 것, 0
사랑하는 사람과 매순간을 함께 했었으니까요., 0
이별이 다가옴을 느끼나봅니다., 0
이별을 받아들이는 것도 준비가 필요해요., 0
작은 일부터 시작해보세요. 그곳에서 행복을 찾아보세요., 0
쉽지 않은 결정이었을텐데 마음 고생 많았어요., 0
좋은 방법이란 없겠지요., 0
조언해주세요., 0
문득 생각나고 잊혀지지 않는 것이겠죠., 0
아직 실감이 안나겠어요., 0
마음의 준비가 필요했을텐데 안타까워요., 0
감정의 골이 깊었나봐요., 0
순간의 분노로 그랬을 수도 있어요., 0
술 취해서 다시 연락하지 않는게 좋아요., 0
좋은 방법이란 없겠지요., 0
고민하고 있다면 그게 맞을거예요., 0
그동안 사랑했던 사람이니까요., 0
힘들 결정이었겠어요., 0
잘 지내길 바랍니다., 0
말씀해주세요., 0
저랑 대화하는 게 위로가 되었으면 합니다., 0
점차 나아질 거예요., 0
이별을 헤아리는 건 큰 도움이 안 돼요., 0
한달 동안 잘 참아왔네요., 0
금방 한달이 될 거라 믿어요., 0
마음의 변화가 있었나봅니다., 0
마음이 좀 차분해졌길 바랍니다., 0
아직 많이 힘든가봅니다., 0
많은 시간이 흘렀네요., 0
좀 나아졌길 바랍니다., 0
한동안은 힘들겠네요., 0
많이 힘든 시간이겠어요., 0
이별은 실감이 안나나봐요., 0
마음은 좀 정리 되어가길 바랍니다., 0
사랑했던 사람을 잊는 건 불가능한 일인가봐요., 0
어찌보면 짧지 않은 시간., 0
그분에게 심경 변화가 있었나봅니다., 0
기억의 저편으로 남겨두세요., 0
언젠간 선택을 해야 하는 시기가 올 거예요., 0
바쁘게 지냈나봐요., 0
많은 시간이 흘렀네요., 0
길게 느껴졌는데 한달 밖에 지나지 않았네요., 0
잘 견디고 있길 바랄게요., 0
이별을 받아들이는 것은 맘처럼 쉽진 않으니까요., 0
많이 힘들었겠어요., 0
잠수이별하지 않고 상처주지 않으며 말을 아끼는게 필요해요., 0
끝낼 때를 아는 것도 중요한 것 같아요., 0
비겁한 자들의 변명이에요., 0
미련은 사랑을 증오로 만들 수 있으니까요., 0
고민하고 있다면 그게 맞을거예요., 0
힘든 결정이었겠어요., 0
맘 고생 많았어요., 0
한 잔 하세요., 0
마음은 좀 정리 되어가길 바랍니다., 0
수 많은 것들이 달라졌겠죠., 0
수 많은 것들이 달라졌겠죠., 0
마음은 좀 정리 되어가길 바랍니다., 0
인고의 시간이었네요., 0
이별을 받아들일 시간이 필요했을텐데., 0
많은 변화가 잇었겠죠., 0
다른 인연이 ㅊ자아올 거예요., 0
사랑이 깊었을 수록 기억은 선명하죠., 0
이별의 빈자리가 느껴지니까요., 0
바쁘게 살면서 잊어가요., 0
그게 이별의 흔적인가봐요., 0
미련만 남을 거예요., 0
지금 이순간에도 시간이 흐르네요., 0
관심을 끄는 것이 정리에 도움이 될 거예요., 0
용기를 냈네요., 0
슬픈 노래는 삼가는 편이에요., 0
달라진게 많았겠네요., 0
제가 축하해드릴게요., 0
금방 지나갔네요., 0
이제 조금이라도 괜찮아졌길 바랍니다., 0
그분의 변덕이 심하네요., 0
잘 견디고 있길 바랄게요., 0
심경의 변화가 있었나봅니다., 0
나아지길 바랄게요., 0
이별은 상처를 남겨서 아무는 데는 시간이 거릴 거예요., 0
이별은 상처를 남겨서 무뎌지는 데는 시간이 거릴 거예요., 0
알 수 없는게 사람 마음인가봐요., 0
헤어짐을 헹리는 것 만큼 가슴 아픈 일은 없어요., 0
민감한 문제이기도 해요., 0
잠깐 눈을 붙이고 마음을 가라앉혀보세요., 0
저랑 같이 이야기 해요., 0
네. 들어줄게요., 0
제가 들어드릴게요., 0
그 사람은 제가 혼내줄게요., 0
불행하게 생각지 말아요., 0
맘 정리할 확실한 이유가 생겼네요., 0
알다가도 모를., 0
어느덧 열흘이란 시간이 지났네요., 0
많은 시간이 흘렀네요., 0
가을 타기 전 새로운 만남 추천합니다., 0
금방 지나갈 거예요., 0
짧지 않은 시간이지요., 0
많이 노력하고 있나봐요., 0
일주일이나 지난 거예요., 0
이별은 상처를 남기고 가니까요., 0
정리되길., 0
그것이 최선의 선택일거라 생각해요., 0
고민하고 있다면 그게 맞을 거예요., 0
마음이 좀 후련해지길 바랄게요., 0
이별을 받아들이는 건 쉬운 일이 아니겠죠., 0
좋은 생각이에요. 한차례 성숙해진 자신을 발견할 거예요., 0
상처가 있었나봐요. 누구나 그럴 수 있어요., 0
심경의 변화가 있었나봐요. 응원할게요., 0
말하면서 기분이 좀 나아졌길 바랍니다., 0
지칠만 해요., 0
끝낼 때를 아는 것도 중요한 것 같아요., 0
끝낼 때를 아는 것도 중요한 것 같아요., 0
충분한 마음의 정리를 했나봅니다., 0
새로운 만남은 언제나 어려운 것 같아요., 0
익숙함이라는 타성에 젖은 건 아닐까 생각해봅니다., 0
그렇게 익숙해져 가나봐요., 0
그럼 새로운 인연을 기다려보세요., 0
끝낼 때를 아는 것도 중요한 것 같아요., 0
혼자만의 시간이 필요하겠어요., 0
곱씹어도 아픈 기억인 걸요., 0
좀 나아졌길 기대합니다., 0
복잡한 머리 속이 문제네요., 0
많이 고민 했을거라 생각해요., 0
생각 보다 잘 버텼어요., 0
마음의 준비가 필요했을지도 몰라요., 0
짧지 않은 시간이지요., 0
충분히 극복할 수 있어요., 0
현실 그대로를 받아들이는 것부터 시작이에요., 0
사랑에도 끝이 있으니까요., 0
다행으로 생각할게요., 0
참 거지같네요., 0
좋은 소식이라고 생각할게요., 0
생각보다 많은 시간이 지났네요., 0
현실 인정부터 시작이죠., 0
충분히 극복해낼 수 있어요., 0
당신만 아픈 것도 겪은 것도 아니에요., 0
이별도 익숨함에 젖어드나봐요., 0
얼마 남지 않았어요., 0
그래도 자신은 믿어주세요., 0
점심시간에 할 수 있는 다른 걸 해봐요., 0
맘 고생 많았어요., 0
마지막을 인정하는 것도 중요해요., 0
때론 이별도 받아들여야 하나봐요., 0
많이 고민 했을거라 생각해요., 0
사랑에도 끝이 있으니까요., 0
마음먹은대로 괜찮아지길., 0
저도 슬퍼지네요. 기운 내길 바랄게요., 0
천천히 보내주세요., 0
안녕!, 0
좋은 마음이길 바랄게요., 0
잘 지내고 있길 바랍니다., 0
마음이 내 마음 같지 않죠., 0
긴 시간이었을거라 생각해요., 0
금방 지나갈 거예요., 0
이별을 헤아리는 건 큰 도움이 안 돼요., 0
깨달음이 중요하죠., 0
당신이 기운내는 것을 보니 좋은 예감이 들어요., 0
이별을 받아들이는 것도 중요해요., 0
쉽지 않은 결정이죠., 0
충분한 고민 끝의 결정일 거라 믿어요., 0
상처가 아무는 데는 시간이 걸려요., 0
미련은 사랑을 증오로 만들 수 있어요., 0
이별을 받아들이는 것도 중요해요., 0
마지막을 아는 것도 필요해요., 0
생각을 정리해 보는 건 어떨까요., 0
맘고생 많았어요., 0
자신은 놓지 말아요., 0
그동안 마음 고생 많았어요., 0
이젠 마음의 결정을 내릴 때에요., 0
제 곁은 떠나지 마세요., 0
이제 새로운 출발을 하면 돼요., 0
지금도 늦지 않았어요., 0
지금도 늦지 않았어요., 0
다음 번의 사랑에선 좀 더 신중할 수 있게 된 거예요., 0
마음 고생 많았어요., 0
이별에 완전한 치유는 없어요., 0
이별은 상처를 남기고 가니까요., 0
좋은 생각이에요!, 0
아프지만 추억으로 여기는 건 어떨까요., 0
좋은 선택일거라 믿어요., 0
이별의 끝을 인정하는 것도 용기입니다., 0
많이 지쳤나봐요. 곧 기운낼 수 있길 바랄게요., 0
달라지는게 없다면 이런 상황이 더 나을지도 몰라요., 0
상처가 많이 크셨나요., 0
잘 지낼거예요., 0
달라지는게 없다면 이런 상황이 더 나을지도 몰라요., 0
슬픈 이별이기도 하네요., 0
일기를 써보세요., 0
생각을 정리해 보세요., 0
이젠 그를 놓아주세요., 0
그동안 못했던 일들을 시작해보세요., 0
그것이 최선의 선택일거라 생각해요., 0
사랑은 때론 미련이 되기도 하죠., 0
그렇다면 마음의 짐도 덜할 거예요., 0
마음 먹은 것만으로도 절반을 해낸 거예요., 0
새로운 삶은 시작하세요., 0
이별의 끝은 항상 모두를 그렇게 만드나봐요., 0
긍정적인 변화이길 바랍니다., 0
그럴 때가 있어요., 0
충분히 이해해요. 하지만 나에게도 독이 될 수 있어요., 0
이별할 때를 아는 것도 중요해요., 0
맘 고생 많았어요., 0
마음 고생 많았어요., 0
또 다른 시작이기도 해요., 0
또 흔들리지 마세요., 0
우리 모두 상대방이 되어 보지 못했으니 당연하다고 생각해요., 0
쉽지 않은 결정이죠., 0
충분한 대화를 나눠보세요., 0
제가 감히 가늠하지 못할 정도로 힘든 자리라 생각해요., 0
이별을 준비하는 기간이 필요할지도 모르겠네요., 0
인연이 거기까지였다고 생각하기로 해요., 0
힘든 시간이었을거라 생각해요., 0
익숨함이 만든 거짓된 사랑., 0
언젠간 괜찮아질 거라 믿어요. 사람은 적응의 동물이니까요., 0
사람은 고쳐쓰는게 아니란 말도 있더라고요., 0
자신이 쏜 화살은 부메랑이 되어 돌아오기도 하죠., 0
그 끝에는 아쉬움이 없을 거예요., 0
언제든 다시 시작할 수 있어요., 0
또 다른 인연이 있기 마련이죠., 0
또 다른 인연이 있기 마련이죠., 0
충분히 그럴 수 있어요. 조급하게 생각지 마세요., 0
상대방에 대한 예의가 없네요., 0
기억의 편린이 될 뿐이에요., 0
달콤한 차라도 한 잔 해보세요., 0
당분간은 생각날 수 밖에 없어요., 0
힘들겠지만 하나씩 해보세요., 0
조금만 더 힘내세요., 0
같은 고민을 안고 살아가는 사람들., 0
갑자기 생각나기도 한답니다., 0
쉬어가도 돼요., 0
많이 힘들었을 거라 생각해요., 0
당장 내일 일도 예측할 수 없는걸요., 0
그분에 대한 궁금증을 접어두셔요., 0
인연이 거기까지였나봐요., 0
상대방에 대한 예의가 없네요., 0
그분이 너무했네요., 0
심경의 변화가 있었나요?, 0
대다수의 사람들이 지나간 후에 깨닫고는 한답니다., 0
시간이 좀 걸리겠지만 해낼 수 있어요., 0
마음 먹을대로 할 수 있어요., 0
잊게 될 거예요., 0
함께한 시간이 있었으니까요., 0
마음 한켠에 남아 있었나봐요., 0
사람을 잊는다는 건 쉬운 일이 아니니까요., 0
충분히 힘들만하다고 생각해요., 0
자연스러운 현상이에요., 0
맘처럼 쉽지가 않을거예요., 0
정말 어려운 일이에요., 0
처음에는 잘 안되겠지만 잘할 수 있을 거예요., 0
시작이 반입니다.. 응원할게요., 0
사람은 사람으로 잊혀지기도 해요., 0
잊을 수 있을 거예요., 0
함께 했던 시간 만큼 잊어야하는 것도 많을 거예요., 0
그래야할 것 같아요., 0
당신을 위해서 잊는게 좋을 거예요., 0
쉬운 일은 아니지요., 0
생각을 잠시 접어두는게 맘이 편하죠., 0
사람을 잊는다는 건 쉬운 일이 아니니까요., 0
힘들긴 하지만 시간이 약이라는 사실을 잊지 말아요., 0
많이 사랑했던 만큼 기억이 선연하더라고요., 0
잘 해내고 있어요., 0
잊기 힘든 순간들이었죠., 0
때론 잊어버리는 것이 좋을 때도 있어요., 0
그보다 많이 사랑했던거지요., 0
살다보면 잊혀지기도 하나봐요., 0
이젠 그 기억을 놓아보세요., 0
지나간 것은 미화되기도 한답니다., 0
자연스러운 현상이에요., 0
쉬운 일이 아니라는 거 잘 알고 있어요., 0
그런 생각은 스스로를 힘들게 할 뿐이에요., 0
마음 아픈 일이기도 해요., 0
